amount,isFraud,Actual_amount_orig,Actual_amount_dest,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER
105352.34,0,105352.34000000003,-105352.34000000003,False,True,False,False,False
408.0,1,408.0,-226013.18,False,False,False,False,True
31613.13,0,0.0,0.0,False,False,False,True,False
7419.61,0,7419.610000000001,0.0,False,False,False,True,False
45103.65,0,-45103.63999999873,45103.64,True,False,False,False,False
4366.02,0,4366.019999999997,0.0,False,False,False,True,False
3288377.47,1,3288377.47,-3288377.4699999997,False,True,False,False,False
8720558.46,1,8720558.46,0.0,False,False,False,False,True
184868.31,0,-184868.31,184868.31999999995,True,False,False,False,False
1803411.53,1,1803411.53,-1803411.54,False,True,False,False,False
341025.2,0,49909.0,-341025.2000000002,False,True,False,False,False
963966.56,1,963966.56,-963966.56,False,True,False,False,False
103949.5,1,103949.5,-103949.5,False,True,False,False,False
2202575.1,1,2202575.1,0.0,False,False,False,False,True
89881.18,0,-89881.19000000134,89881.17999999993,True,False,False,False,False
9637.2,0,9637.2,0.0,False,False,False,True,False
338364.14,1,338364.14,0.0,False,False,False,False,True
17617.3,0,17617.300000000003,0.0,False,False,False,True,False
165442.29,0,9771.0,-165442.28999999998,False,True,False,False,False
253654.59,0,1748.0,-253654.59000000008,False,False,False,False,True
6783.47,1,6783.47,-6783.470000000001,False,True,False,False,False
17421.25,0,17421.25,0.0,False,False,False,True,False
9554.61,0,0.0,0.0,False,False,False,True,False
47721.95,1,47721.95,-47721.939999999995,False,True,False,False,False
371843.84,0,51174.0,-371843.8299999996,False,True,False,False,False
2571605.04,1,2571605.04,0.0,False,False,False,False,True
447009.83,1,447009.83,0.0,False,False,False,False,True
67299.57,1,67299.57,-67299.57,False,True,False,False,False
567932.31,1,567932.31,-567932.31,False,True,False,False,False
205266.2,0,3686.0,-205266.20000000112,False,True,False,False,False
1716.05,0,1716.04,0.0,False,False,False,True,False
168622.3,1,168622.3,-168622.28999999992,False,True,False,False,False
1111294.44,0,0.0,-1466507.6799999997,False,False,False,False,True
2343696.85,1,2343696.85,0.0,False,False,False,False,True
933872.84,0,0.0,-933872.8499999996,False,False,False,False,True
3596.83,1,3596.83,-3596.819999999949,False,True,False,False,False
10000000.0,1,10000000.0,0.0,False,False,False,False,True
323726.61,1,323726.61,-323726.61,False,True,False,False,False
1398166.84,1,1398166.84,-1398166.84,False,True,False,False,False
62022.59,0,0.0,-62022.590000000026,False,True,False,False,False
4453.51,0,0.0,0.0,False,False,False,True,False
228684.0,0,-228684.0,228683.99999999997,True,False,False,False,False
328853.84,0,107071.0,-328853.83999999985,False,True,False,False,False
133027.88,0,27144.0,-133027.88,False,True,False,False,False
11647.22,0,0.0,0.0,False,False,False,True,False
194759.1,0,0.0,-194759.1000000001,False,True,False,False,False
3139423.35,1,3139423.35,-3139423.35,False,True,False,False,False
76640.82,1,76640.82,0.0,False,False,False,False,True
12866.86,0,12866.859999999986,0.0,False,False,False,True,False
6557.02,0,2211.36,0.0,False,False,False,True,False
74188.39,0,0.0,-74188.39000000013,False,True,False,False,False
5024.64,0,5024.639999999999,0.0,False,False,False,True,False
194404.8,0,-194404.79000000004,194404.80000000002,True,False,False,False,False
108470.88,0,-108470.88000000012,108470.87999999989,True,False,False,False,False
17096.89,0,17096.889999999985,0.0,False,False,False,True,False
20779.67,0,20779.67,0.0,False,False,False,True,False
49573.68,0,0.0,0.0,False,False,False,True,False
724264.21,1,724264.21,-724264.21,False,True,False,False,False
790332.43,1,790332.43,0.0,False,False,False,False,True
10000000.0,1,10000000.0,-10000000.0,False,True,False,False,False
7821.75,0,0.0,0.0,False,False,False,True,False
81621.89,0,-81621.89000000001,81621.88000000035,True,False,False,False,False
2847.67,0,0.0,0.0,False,False,False,True,False
10000000.0,1,10000000.0,0.0,False,False,False,False,True
238858.49,0,55168.0,-238858.49,False,True,False,False,False
563388.67,1,563388.67,0.0,False,False,False,False,True
325314.57,0,190.0,-325314.56000000006,False,True,False,False,False
1633227.0,1,1633227.0,0.0,False,False,False,False,True
254440.83,1,254440.83,-254440.83,False,True,False,False,False
312151.06,1,312151.06,-312151.06999999995,False,True,False,False,False
345425.57,1,345425.57,-345425.56999999995,False,True,False,False,False
291305.98,1,291305.98,0.0,False,False,False,False,True
283.6,0,-283.589999999851,283.5999999998603,True,False,False,False,False
47604.75,1,47604.75,-47604.75,False,True,False,False,False
10000000.0,1,10000000.0,-10000000.0,False,True,False,False,False
50349.99,0,10360.0,-50349.990000000005,False,True,False,False,False
75046.31,0,54769.0,-75046.30000000005,False,True,False,False,False
3063.79,0,3063.790000000001,0.0,False,False,False,True,False
553328.24,1,553328.24,-553328.24,False,True,False,False,False
15410.74,0,321.84,0.0,False,False,False,True,False
262678.53,1,262678.53,0.0,False,False,False,False,True
5001.61,0,0.0,0.0,False,False,False,True,False
2011285.35,1,2011285.35,-2011285.34,False,True,False,False,False
847383.45,1,847383.45,-847383.45,False,True,False,False,False
171572.06,1,171572.06,0.0,False,False,False,False,True
125146.75,1,125146.75,0.0,False,False,False,False,True
2251225.38,1,2251225.38,-2251225.39,False,True,False,False,False
772379.36,1,772379.36,-772379.36,False,True,False,False,False
180379.03,0,-180379.03,0.0,True,False,False,False,False
17633.05,0,9985.0,0.0,False,False,False,True,False
19539.84,0,10445.0,0.0,False,False,False,True,False
126964.53,0,27383.0,-126964.52000000002,False,True,False,False,False
3281.86,0,0.0,0.0,False,False,False,True,False
217167.29,0,-217167.29000000097,217167.29000000004,True,False,False,False,False
27113.41,0,27113.409999999974,0.0,False,False,False,True,False
2914653.69,1,2914653.69,-2914653.6799999997,False,True,False,False,False
873322.61,1,873322.61,-873322.61,False,True,False,False,False
299457.79,0,28892.0,-299457.79,False,True,False,False,False
325140.5,0,0.0,-325140.5,False,True,False,False,False
136305.19,0,2097.0,-136305.19,False,True,False,False,False
4716.08,1,4716.08,0.0,False,False,False,False,True
22877.0,1,22877.0,0.0,False,False,False,False,True
2221683.68,1,2221683.68,-2221683.6800000006,False,True,False,False,False
182998.67,0,0.0,-182998.66999999998,False,True,False,False,False
337451.94,0,241017.95,-337451.93999999994,False,True,False,False,False
982414.06,1,982414.06,-982414.0499999999,False,True,False,False,False
270566.57,0,6494.0,-586645.37,False,True,False,False,False
8571.97,0,8571.969999999972,0.0,False,False,False,True,False
157821.65,0,916.0,-157821.65000000014,False,True,False,False,False
627088.33,1,627088.33,-627088.33,False,True,False,False,False
2115503.99,1,2115503.99,-2115503.99,False,True,False,False,False
332729.54,1,0.0,-332729.55000000005,False,True,False,False,False
107414.01,0,-107414.00999999978,107414.02,True,False,False,False,False
766151.45,1,766151.45,-766151.45,False,True,False,False,False
1710180.37,1,1710180.37,-1710180.37,False,True,False,False,False
819503.92,1,819503.92,-1214641.25,False,True,False,False,False
160186.79,1,160186.79,0.0,False,False,False,False,True
246402.71,1,246402.71,0.0,False,False,False,False,True
349.91,0,349.9100000000035,0.0,False,False,False,True,False
282145.23,0,-282145.23,12524.98,True,False,False,False,False
65239.11,0,0.0,81474.40999999992,False,True,False,False,False
621271.5,0,0.0,-621271.5000000005,False,False,False,False,True
93051.64,0,49977.0,-93051.64000000013,False,True,False,False,False
334790.89,1,334790.89,0.0,False,False,False,False,True
126792.87,0,37068.0,-126792.87000000002,False,True,False,False,False
220946.25,0,0.0,-220946.25,False,True,False,False,False
988204.68,0,0.0,-988204.6799999999,False,False,False,False,True
1715635.41,1,1715635.41,-1715635.41,False,True,False,False,False
153085.43,0,-153085.43999999948,153085.44,True,False,False,False,False
3092085.39,1,3092085.39,0.0,False,False,False,False,True
255120.51,0,114233.0,-255120.51,False,True,False,False,False
10000000.0,1,10000000.000000002,0.0,False,False,False,False,True
1876.23,0,0.0,0.0,False,False,False,True,False
21290.71,0,21290.699999999997,0.0,False,False,False,True,False
9319.01,0,0.0,0.0,False,False,False,True,False
582986.45,0,0.0,-582986.4400000002,False,False,False,False,True
9437.3,0,9437.300000000003,0.0,False,False,False,True,False
44116.87,1,44116.87,0.0,False,False,False,False,True
7096.45,0,628.0,0.0,False,False,False,True,False
71666.93,1,71666.93,-71666.93,False,True,False,False,False
232185.56,1,232185.56,0.0,False,False,False,False,True
2263927.04,1,2263927.04,0.0,False,False,False,False,True
1416055.74,1,1416055.74,0.0,False,False,False,False,True
160642.88,0,467.0,-160642.88,False,True,False,False,False
321820.25,0,0.0,-321820.2599999998,False,True,False,False,False
31945.44,1,31945.44,-31945.440000000002,False,True,False,False,False
950791.37,1,950791.37,-950791.37,False,True,False,False,False
508929.61,1,508929.61,-508929.61,False,True,False,False,False
16559.9,0,16559.900000000023,0.0,False,False,False,True,False
114765.51,0,105.0,-114765.52000000002,False,False,False,False,True
404185.57,1,404185.57,-404185.57,False,True,False,False,False
3054359.4,1,3054359.4,0.0,False,False,False,False,True
2637.86,0,2637.8499999999913,0.0,False,False,False,True,False
6038.56,0,0.0,0.0,False,False,False,True,False
36410.8,0,36410.80000000005,-36410.8,False,True,False,False,False
1082200.06,1,1082200.06,-1082200.06,False,True,False,False,False
10000000.0,1,10000000.0,0.0,False,False,False,False,True
662727.25,0,0.0,-662727.25,False,False,False,False,True
10000000.0,1,9999999.999999998,0.0,False,False,False,False,True
103368.58,1,103368.58,-103368.58,False,True,False,False,False
53042.33,0,0.0,-53042.32999999999,False,True,False,False,False
65317.15,0,-65317.14000000013,65317.149999999994,True,False,False,False,False
116342.2,0,0.0,-116342.19999999998,False,True,False,False,False
166972.46,1,166972.46,-166972.46000000002,False,True,False,False,False
223228.11,1,223228.11,-223228.12000000002,False,True,False,False,False
345425.57,1,345425.57,0.0,False,False,False,False,True
6273660.45,1,6273660.45,0.0,False,False,False,False,True
1016.83,0,1016.8300000000017,0.0,False,False,False,True,False
10000000.0,1,10000000.0,-10000000.0,False,True,False,False,False
624708.03,0,29772.0,-624708.0299999999,False,False,False,False,True
776426.66,0,332223.32,-776426.6600000001,False,False,False,False,True
1132311.86,1,1132311.86,0.0,False,False,False,False,True
561149.9,1,561149.9,-561149.9,False,True,False,False,False
4041.63,0,4041.629999999999,0.0,False,False,False,True,False
747281.74,0,0.0,-747281.7399999998,False,False,False,False,True
2963.22,0,0.0,0.0,False,False,False,True,False
10000000.0,1,10000000.0,0.0,False,False,False,False,True
11299.49,0,0.0,0.0,False,False,False,True,False
305627.0,1,305627.0,-305627.0,False,True,False,False,False
290217.18,0,21162.0,-290217.1699999999,False,True,False,False,False
22025.14,1,22025.14,0.0,False,False,False,False,True
2947783.87,1,2947783.87,-2947783.86,False,True,False,False,False
199789.11,0,0.0,-199789.11,False,True,False,False,False
231884.9,0,37.0,-231884.8999999999,False,True,False,False,False
12559.32,0,12559.319999999949,0.0,False,False,False,True,False
234723.4,1,234723.4,-234723.4,False,True,False,False,False
453699.35,1,453699.35,-453699.34999999986,False,True,False,False,False
392766.25,0,-392766.25,392766.25,True,False,False,False,False
265961.0,1,265961.0,-265961.0,False,True,False,False,False
5018.23,0,5018.23,0.0,False,False,False,True,False
87541.41,1,87541.41,0.0,False,False,False,False,True
67685.4,0,-67685.4,67685.40000000014,True,False,False,False,False
211944.8,0,0.0,-360389.20000000007,False,True,False,False,False
14718.33,0,14718.329999999998,0.0,False,False,False,True,False
1425062.97,1,1425062.97,0.0,False,False,False,False,True
4250.18,0,4250.18,0.0,False,False,False,True,False
5595.13,0,5595.129999999999,0.0,False,False,False,True,False
426173.04,1,426173.04,0.0,False,False,False,False,True
158424.1,0,0.0,-158424.08999999985,False,True,False,False,False
556218.01,1,556218.01,0.0,False,False,False,False,True
144044.35,1,144044.35,0.0,False,False,False,False,True
4212682.84,1,4212682.84,0.0,False,False,False,False,True
79581.24,1,79581.24,-79581.24000000002,False,True,False,False,False
580010.03,1,580010.03,0.0,False,False,False,False,True
128.33,0,128.33000000000175,0.0,False,False,False,True,False
722380.88,1,722380.88,-722380.8699999999,False,True,False,False,False
443453.43,0,82305.0,-588677.8599999999,False,True,False,False,False
165955.24,0,110166.0,-165955.22999999998,False,True,False,False,False
10000000.0,1,10000000.0,-10000000.0,False,True,False,False,False
257811.92,1,257811.92,-257811.91999999993,False,True,False,False,False
5349.74,1,5349.74,-5349.739999999991,False,True,False,False,False
522465.43,1,522465.43,0.0,False,False,False,False,True
203848.61,1,203848.61,0.0,False,False,False,False,True
230990.44,0,0.0,-413122.9099999999,False,True,False,False,False
3263.14,0,-3263.1399999999994,0.0,True,False,False,False,False
268380.67,0,-268380.6799999997,268380.68,True,False,False,False,False
173767.77,0,0.0,-173767.7600000007,False,True,False,False,False
54235.7,1,54235.7,0.0,False,False,False,False,True
429257.45,1,429257.45,-429257.45,False,True,False,False,False
1994285.14,1,1994285.14,-1994285.1400000001,False,True,False,False,False
113362.94,0,-113362.94,59563.200000000186,True,False,False,False,False
152195.37,0,-152195.37,152195.37,True,False,False,False,False
4598089.88,1,4598089.88,0.0,False,False,False,False,True
10000000.0,1,10000000.0,-10000000.0,False,True,False,False,False
348155.93,0,-348155.92000000004,348155.9299999997,True,False,False,False,False
22042.43,0,0.0,0.0,False,False,False,True,False
86047.09,0,-86047.08999999985,86047.09,True,False,False,False,False
397034.91,0,0.0,-397034.91000000015,False,True,False,False,False
38370.82,0,2946.0,-38370.82000000001,False,True,False,False,False
358436.13,0,-358436.12999999896,358436.1299999999,True,False,False,False,False
10000000.0,1,10000000.0,0.0,False,False,False,False,True
321595.09,0,24213.0,-321595.09,False,True,False,False,False
341.3,1,341.3,-341.29999999998836,False,True,False,False,False
36956.27,1,36956.27,-36956.259999999995,False,True,False,False,False
4965.16,0,4965.16,-4965.150000000009,False,False,True,False,False
29473.67,1,29473.67,0.0,False,False,False,False,True
7779.49,0,0.0,0.0,False,False,False,True,False
172515.26,0,0.0,-345862.4099999997,False,False,False,False,True
8460.8,0,8460.800000000003,0.0,False,False,False,True,False
6343.02,0,1054.0,0.0,False,False,False,True,False
145967.01,0,-145967.02000000002,145967.01,True,False,False,False,False
58521.53,1,58521.53,-58521.53,False,True,False,False,False
856568.35,0,66165.0,-856568.3499999996,False,False,False,False,True
438859.1,1,438859.1,-438859.09999999986,False,True,False,False,False
393103.46,0,720.0,-393103.47,False,True,False,False,False
305846.12,1,305846.12,-305846.12,False,True,False,False,False
5591647.96,1,5591647.96,0.0,False,False,False,False,True
964388.1,1,964388.1,-964388.11,False,True,False,False,False
2806.23,0,2806.2300000000005,0.0,False,False,False,True,False
4748.13,0,4748.129999999997,0.0,False,False,False,True,False
224570.45,1,224570.45,0.0,False,False,False,False,True
30089.33,0,30089.330000000016,0.0,False,False,False,True,False
1559540.62,1,1559540.62,0.0,False,False,False,False,True
13165.28,0,0.0,0.0,False,False,False,True,False
3523089.46,1,3523089.46,0.0,False,False,False,False,True
555624.58,0,147.0,-693252.6900000001,False,False,False,False,True
253979.48,0,10760.0,-253979.47000000003,False,True,False,False,False
13692.08,0,0.0,0.0,False,False,False,True,False
946705.53,1,946705.53,0.0,False,False,False,False,True
54235.7,1,54235.7,-54235.7,False,True,False,False,False
6703831.4,1,6703831.4,0.0,False,False,False,False,True
19865.66,0,19865.66,0.0,False,False,False,True,False
916886.3,1,916886.3,0.0,False,False,False,False,True
151017.81,0,151017.81,-151017.81,False,True,False,False,False
915672.67,1,915672.67,-915672.6699999999,False,True,False,False,False
489813.61,0,-489813.61,407432.38,True,False,False,False,False
439791.49,0,-439791.49,439791.49,True,False,False,False,False
613020.85,1,613020.85,0.0,False,False,False,False,True
379057.93,1,379057.93,-379057.93,False,True,False,False,False
25529.76,1,25529.76,-25529.76,False,True,False,False,False
84898.99,0,-84898.99,84898.97999999998,True,False,False,False,False
68131.15,0,-68131.15,0.0,True,False,False,False,False
138225.21,0,15224.0,-138225.21000000002,False,True,False,False,False
155404.11,0,0.0,-155404.11000000034,False,True,False,False,False
13266.93,1,13266.93,0.0,False,False,False,False,True
18887.22,1,18887.22,-18887.22,False,True,False,False,False
424480.55,0,424480.55,-424480.56,False,False,False,False,True
831725.76,1,831725.76,0.0,False,False,False,False,True
34354.21,0,0.0,-34354.20999999996,False,True,False,False,False
15115.5,0,0.0,0.0,False,False,False,True,False
5512.33,0,5512.329999999987,0.0,False,False,False,True,False
2554662.97,1,2554662.97,0.0,False,False,False,False,True
88424.06,1,88424.06,0.0,False,False,False,False,True
356037.76,0,-356037.76,0.0,True,False,False,False,False
290341.67,0,12448.0,-290341.67,False,True,False,False,False
21566.03,0,21566.03,0.0,False,False,False,True,False
48815.61,0,48815.61000000001,0.0,False,False,False,True,False
43533.47,0,-43533.47,0.0,True,False,False,False,False
388369.63,0,1248.0,-388369.63000000006,False,True,False,False,False
88822.21,0,769.0,-88822.21,False,True,False,False,False
6484526.8,1,6484526.8,-6484526.8,False,True,False,False,False
1625161.14,0,835303.0,-1625161.15,False,False,False,False,True
382536.3,0,0.0,-382536.2999999998,False,False,False,False,True
145763.81,0,75168.0,-145763.81,False,True,False,False,False
314835.11,0,0.0,-314835.10999999987,False,True,False,False,False
16514.64,1,16514.64,-16514.64,False,True,False,False,False
49372.94,1,49372.94,0.0,False,False,False,False,True
436906.22,1,436906.22,0.0,False,False,False,False,True
248123.95,1,248123.95,0.0,False,False,False,False,True
5338162.8,1,5338162.8,-5338162.79,False,True,False,False,False
10593.52,0,10593.52,-10593.52,False,True,False,False,False
749316.7,1,749316.7,0.0,False,False,False,False,True
591159.5,1,591159.5,-591159.5,False,True,False,False,False
1157971.07,1,1157971.07,-1157971.0699999998,False,True,False,False,False
4716307.48,1,4716307.48,0.0,False,False,False,False,True
3338954.98,0,0.0,-3338954.9799999986,False,False,False,False,True
489111.71,1,489111.71,0.0,False,False,False,False,True
1501341.87,1,1501341.87,-1501341.87,False,True,False,False,False
802421.39,1,802421.39,-802421.3800000008,False,True,False,False,False
12668.14,0,11160.0,0.0,False,False,False,True,False
10000000.0,1,9999999.999999998,0.0,False,False,False,False,True
2404.58,0,2404.58,0.0,False,False,False,True,False
1032.06,0,1032.0600000000013,-1032.0600000000013,False,True,False,False,False
190379.47,0,-190379.47,18830.23,True,False,False,False,False
1858515.57,1,1858515.57,0.0,False,False,False,False,True
22942.74,0,0.0,0.0,False,False,False,True,False
498747.55,1,498747.55,0.0,False,False,False,False,True
3178915.22,1,3178915.22,-3178915.23,False,True,False,False,False
35576.03,0,-35576.02000000002,35576.03000000003,True,False,False,False,False
26810.52,0,26810.52000000002,0.0,False,False,False,True,False
6501303.14,1,6501303.14,-6501303.140000001,False,True,False,False,False
13659.45,1,13659.45,0.0,False,False,False,False,True
966222.5,1,966222.5,0.0,False,False,False,False,True
1806516.34,1,1806516.34,0.0,False,False,False,False,True
17339.53,0,17339.53,0.0,False,False,False,True,False
1976.49,0,1976.4899999999998,0.0,False,False,False,True,False
3085336.66,1,3085336.66,0.0,False,False,False,False,True
137102.11,0,0.0,-137102.1000000001,False,False,False,False,True
144945.34,1,144945.34,-144945.34,False,True,False,False,False
2326251.51,1,2326251.51,-2326251.51,False,True,False,False,False
6183238.55,1,6183238.55,0.0,False,False,False,False,True
19998.58,0,19998.579999999998,0.0,False,False,False,True,False
626195.24,1,626195.24,0.0,False,False,False,False,True
64390.57,0,31971.0,-64390.57000000001,False,True,False,False,False
125910.25,0,31268.0,-125910.25,False,True,False,False,False
99808.45,1,99808.45,-99808.45,False,True,False,False,False
253261.96,1,253261.96,-253261.95999999996,False,True,False,False,False
6850.63,0,6850.629999999999,0.0,False,False,False,True,False
550231.35,1,550231.35,0.0,False,False,False,False,True
270478.21,0,0.0,-270478.19999999995,False,True,False,False,False
7360.15,1,7360.15,0.0,False,False,False,False,True
173134.62,0,11158.0,-173134.62,False,True,False,False,False
3719.27,0,3719.2700000000004,0.0,False,False,False,True,False
191233.15,0,0.0,-191233.14999999997,False,False,False,False,True
10000000.0,1,10000000.0,-9999999.999999998,False,True,False,False,False
166880.54,1,166880.54,0.0,False,False,False,False,True
9748.89,1,9748.89,0.0,False,False,False,False,True
32089.17,0,-32089.17,0.0,True,False,False,False,False
308778.37,1,308778.37,0.0,False,False,False,False,True
264929.54,0,-264929.54000000004,264929.54000000004,True,False,False,False,False
145067.24,1,145067.24,0.0,False,False,False,False,True
674541.55,1,674541.55,-674541.5499999999,False,True,False,False,False
200038.31,0,-200038.3099999996,200038.30999999997,True,False,False,False,False
303234.44,0,0.0,-303234.43999999994,False,True,False,False,False
932304.24,1,932304.24,-932304.24,False,True,False,False,False
1777.48,0,1777.479999999996,0.0,False,False,False,True,False
3508618.72,0,0.0,-3508618.7199999997,False,False,False,False,True
190182.29,0,0.0,-190182.29000000004,False,True,False,False,False
2388542.02,1,2388542.02,-2388542.0100000002,False,True,False,False,False
1675153.28,1,1675153.28,-1675153.27,False,True,False,False,False
8267760.5,1,8267760.5,0.0,False,False,False,False,True
4380.78,0,0.0,0.0,False,False,False,True,False
1179716.49,1,1179716.49,-1179716.49,False,True,False,False,False
1063083.87,0,0.0,-1063083.87,False,False,False,False,True
106460.7,1,106460.7,0.0,False,False,False,False,True
61470.02,1,61470.02,0.0,False,False,False,False,True
105498.05,0,0.0,-105498.04999999981,False,True,False,False,False
11631.53,0,0.0,0.0,False,False,False,True,False
155759.39,0,21507.0,-155759.39,False,True,False,False,False
575082.97,1,575082.97,0.0,False,False,False,False,True
615232.48,0,9940.0,-615232.48,False,True,False,False,False
343429.34,1,343429.34,-343429.35,False,True,False,False,False
251683.05,1,251683.05,-251683.05,False,True,False,False,False
9094.49,0,0.0,0.0,False,False,False,True,False
4128853.75,1,4128853.75,0.0,False,False,False,False,True
59263.88,1,59263.88,0.0,False,False,False,False,True
8033.58,0,8033.58,0.0,False,False,False,True,False
124057.58,1,124057.58,-124057.58000000007,False,True,False,False,False
431356.55,1,431356.55,0.0,False,False,False,False,True
83476.52,0,0.0,-83476.53000000003,False,True,False,False,False
986876.27,1,986876.27,0.0,False,False,False,False,True
61846.05,1,61846.05,0.0,False,False,False,False,True
256703.48,0,-256703.47999999998,256703.47999999998,True,False,False,False,False
3120690.98,1,3120690.98,0.0,False,False,False,False,True
200008.33,1,200008.33,0.0,False,False,False,False,True
174885.32,0,0.0,-174885.32,False,True,False,False,False
100617.19,0,0.0,-100617.19999999925,False,True,False,False,False
20128.0,1,20128.0,-5877.85,False,True,False,False,False
312955.14,1,312955.14,-312955.14,False,True,False,False,False
127905.82,1,127905.82,-127905.82,False,True,False,False,False
133771.98,0,-133771.98999999976,133771.97999999998,True,False,False,False,False
216803.7,0,31471.0,-216803.69000000006,False,True,False,False,False
3857176.83,1,3857176.83,-3857176.83,False,True,False,False,False
563149.41,1,563149.41,-563149.41,False,True,False,False,False
2634032.61,1,2634032.61,0.0,False,False,False,False,True
3608191.52,1,3608191.52,-3608191.51,False,True,False,False,False
99804.21,1,99804.21,-99804.20999999999,False,True,False,False,False
2737766.8,1,2737766.8,0.0,False,False,False,False,True
30548.46,1,30548.46,-30548.46000000008,False,True,False,False,False
50184.12,0,0.0,-50184.1100000001,False,True,False,False,False
406864.17,1,406864.17,-406864.1699999999,False,True,False,False,False
172391.53,0,-172391.53000000003,172391.53000000003,True,False,False,False,False
3155.48,0,0.0,0.0,False,False,False,True,False
213150.79,0,0.0,-213150.78999999998,False,True,False,False,False
63210.91,1,63210.91,0.0,False,False,False,False,True
8286342.51,1,8286342.51,0.0,False,False,False,False,True
522496.89,0,0.0,-522496.89000000013,False,True,False,False,False
156396.46,1,156396.46,0.0,False,False,False,False,True
506591.47,0,0.0,-506591.45999999996,False,False,False,False,True
1499869.54,1,1499869.54,-1499869.5299999993,False,True,False,False,False
2135320.18,1,2135320.18,-2135320.18,False,True,False,False,False
1028486.59,1,1028486.59,0.0,False,False,False,False,True
76455.68,0,-76455.68000000063,76455.68999999994,True,False,False,False,False
969259.07,1,969259.07,0.0,False,False,False,False,True
2985840.4,1,2985840.4,-2985840.4,False,True,False,False,False
286670.9,1,286670.9,0.0,False,False,False,False,True
3857176.83,1,3857176.83,0.0,False,False,False,False,True
11767.19,0,11767.190000000002,0.0,False,False,False,True,False
9039246.82,1,9039246.82,-9039246.82,False,True,False,False,False
43392.87,0,0.0,-43392.869999999995,False,True,False,False,False
175313.96,1,175313.96,-175313.95999999996,False,True,False,False,False
17954.02,0,4164.92,0.0,False,False,False,True,False
235512.2,1,235512.2,-782009.879999999,False,True,False,False,False
1348095.12,1,1348095.12,-1348095.12,False,True,False,False,False
235590.12,0,0.0,-235590.12000000005,False,True,False,False,False
48340.79,1,48340.79,0.0,False,False,False,False,True
3946.52,0,3946.519999999997,0.0,False,False,False,True,False
217877.79,0,217877.78999999998,-217877.79000000004,False,True,False,False,False
2277862.67,1,2277862.67,-2277862.670000001,False,True,False,False,False
54583.71,1,54583.71,0.0,False,False,False,False,True
73929.99,1,73929.99,-73929.98999999999,False,True,False,False,False
49726.78,0,40489.0,-357620.68,False,True,False,False,False
10000000.0,1,10000000.0,-10000000.0,False,True,False,False,False
692984.55,1,692984.55,-692984.55,False,True,False,False,False
